"SITE_NAME,SUB_SITE,DATE_OBS,CHAMBER_ID,SOIL_DEPTH,CH4_CONC,REVISION_DATE,CRTFCN_CODE"
"'SSA-9JP-CLRCT','9TF04-SPR01',04-JUL-1994,'ST',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',04-JUL-1994,'ST',-.6,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',04-JUL-1994,'ST',-.9,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',10-JUL-1994,'ST',0.0,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',10-JUL-1994,'ST',-.1,1.69,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',10-JUL-1994,'ST',-.1,1.46,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',10-JUL-1994,'ST',-.2,.87,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',10-JUL-1994,'ST',-.2,.62,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',10-JUL-1994,'ST',-.3,.45,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',10-JUL-1994,'ST',-.3,.3,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',10-JUL-1994,'ST',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',10-JUL-1994,'ST',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',10-JUL-1994,'ST',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',10-JUL-1994,'ST',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',10-JUL-1994,'ST',-.6,.02,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',10-JUL-1994,'ST',-.9,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'ST',0.0,1.79,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'ST',-.1,1.51,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'ST',-.2,.88,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'UV',-.1,1.14,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'UV',-.6,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'ST',-.6,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'UV',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'ST',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'UV',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'ST',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'UV',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'ST',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'UV',-.9,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'ST',-.9,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'UV',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'ST',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'UV',-.3,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'ST',-.3,.35,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'UV',-.3,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'ST',-.3,.53,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'UV',-.2,.69,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'ST',-.2,.63,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'UV',-.2,.93,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'UV',-.1,1.49,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'UV',0.0,1.69,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUL-1994,'ST',-.1,1.62,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',13-AUG-1994,'ST',0.0,1.75,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',13-AUG-1994,'ST',-.3,.23,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',13-AUG-1994,'ST',-.4,.11,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',13-AUG-1994,'ST',-.4,.16,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',13-AUG-1994,'ST',-.9,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',13-AUG-1994,'ST',-.6,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',13-AUG-1994,'ST',-.5,.08,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',13-AUG-1994,'ST',-.5,.08,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',13-AUG-1994,'ST',-.3,.39,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',13-AUG-1994,'ST',-.1,1.56,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',13-AUG-1994,'ST',-.1,1.25,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',13-AUG-1994,'ST',-.2,.63,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',13-AUG-1994,'ST',-.2,.95,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',19-AUG-1994,'ST',0.0,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',19-AUG-1994,'ST',-.1,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',19-AUG-1994,'ST',-.2,.65,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',19-AUG-1994,'ST',-.3,.17,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',19-AUG-1994,'ST',-.4,.29,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',19-AUG-1994,'ST',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',19-AUG-1994,'ST',-.9,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',19-AUG-1994,'ST',-.6,.06,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',19-AUG-1994,'ST',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',19-AUG-1994,'ST',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',19-AUG-1994,'ST',-.3,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',19-AUG-1994,'ST',-.2,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',19-AUG-1994,'ST',-.1,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',23-AUG-1994,'ST',0.0,1.82,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',23-AUG-1994,'ST',-.3,.22,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',23-AUG-1994,'ST',-.4,.16,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',23-AUG-1994,'ST',-.4,.14,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',23-AUG-1994,'ST',-.9,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',23-AUG-1994,'ST',-.6,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',23-AUG-1994,'ST',-.5,.12,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',23-AUG-1994,'ST',-.5,.14,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',23-AUG-1994,'ST',-.3,.33,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',23-AUG-1994,'ST',-.1,1.82,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',23-AUG-1994,'ST',-.1,1.11,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',23-AUG-1994,'ST',-.2,.49,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',23-AUG-1994,'ST',-.2,.91,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',0.0,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',0.0,1.82,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.1,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.1,1.66,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.1,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.1,1.3,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.2,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.2,.53,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.2,.65,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.3,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.3,.44,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.3,.23,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.3,.31,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.4,.12,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.4,.08,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.4,.13,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.5,.1,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.5,.08,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.6,.04,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.6,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.9,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.9,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',12-SEP-1994,'ST',-.2,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',05-JUN-1994,'QR',0.0,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',05-JUN-1994,'QR',-.2,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',05-JUN-1994,'QR',-.1,.94,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',05-JUN-1994,'QR',-.1,1.31,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',05-JUN-1994,'QR',-.2,.42,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',05-JUN-1994,'QR',-.3,.13,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',05-JUN-1994,'QR',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',05-JUN-1994,'QR',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',05-JUN-1994,'QR',-.9,-888.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',05-JUN-1994,'QR',-.6,.23,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',05-JUN-1994,'QR',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',05-JUN-1994,'QR',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',05-JUN-1994,'QR',-.3,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'MN',0.0,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'MN',-.1,1.41,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'MN',-.1,1.55,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'OP',-.1,1.13,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'OP',-.9,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'MN',-.9,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'OP',-.6,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'MN',-.6,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'OP',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'MN',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'OP',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'MN',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'OP',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'MN',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'OP',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'MN',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'OP',-.3,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'MN',-.3,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'OP',-.3,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'MN',-.3,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'OP',-.2,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'MN',-.2,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'OP',-.2,.93,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'MN',-.2,1.28,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'OP',-.1,1.16,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',10-JUN-1994,'OP',0.0,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',15-JUN-1994,'QR',0.0,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',15-JUN-1994,'QR',-.1,1.28,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',15-JUN-1994,'QR',-.1,1.05,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',15-JUN-1994,'QR',-.2,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',15-JUN-1994,'QR',-.3,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',15-JUN-1994,'QR',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',15-JUN-1994,'QR',-.3,.15,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',15-JUN-1994,'QR',-.9,.22,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',15-JUN-1994,'QR',-.6,.05,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',15-JUN-1994,'QR',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',15-JUN-1994,'QR',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',15-JUN-1994,'QR',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',15-JUN-1994,'QR',-.2,.4,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',27-JUN-1994,'MN',0.0,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-SPR01',27-JUN-1994,'MN',-.1,1.67,12-NOV-1998,'CPI'"
