"SITE_NAME,SUB_SITE,DATE_OBS,TIME_OBS,CO2_FLUX,CH4_FLUX,COVER_TYPE,SOIL_TEMP_1CM,SOIL_TEMP_5CM,SOIL_TEMP_10CM,SOIL_TEMP_20CM,COLLAR_ID,CO2_CONC,CO2_CONC_2,CH4_CONC,CH4_CONC_2,CRTFCN_CODE,REVISION_DATE"
"'NSA-BVP-FLXTR','TGB01-FLX01',26-MAY-1994,1912,-888.0,.00296296,'Pond',,15.6,9.9,4.9,'M-BP-p-32',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',26-MAY-1994,1912,.93171296,.00837963,'Pond',,15.6,9.9,4.9,'M-BP-p-31',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',31-MAY-1994,1843,.80787037,-.000478,'Sphagnum Moss',,8.7,8.1,-.4,'M-BP-ms-21',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',31-MAY-1994,1843,-888.0,-.0007095,'Sphagnum Moss',,8.7,8.1,-.4,'M-BP-ms-22',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',31-MAY-1994,1843,-888.0,0.0,'Sphagnum Moss',,8.7,8.1,-.4,'M-BP-ms-24',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',31-MAY-1994,1843,-888.0,-.0028125,'Sphagnum Moss',,8.7,8.1,-.4,'M-BP-ms-23',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',31-MAY-1994,1912,3.75,0.0,'Lichen',,7.3,4.3,.2,'M-BP-ul-17',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',31-MAY-1994,1912,-888.0,0.0,'Lichen',,7.3,4.3,.2,'M-BP-ul-20',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',31-MAY-1994,1912,-888.0,-.00125,'Lichen',,7.3,4.3,.2,'M-BP-ul-19',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',31-MAY-1994,1912,-888.0,-.0008032,'Lichen',,7.3,4.3,.2,'M-BP-ul-18',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',31-MAY-1994,1940,-1.1574074,.03877315,'Pond',,13.1,11.7,8.3,'M-BP-p-29',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',31-MAY-1994,1940,-888.0,.01037037,'Pond',,13.1,11.7,8.3,'M-BP-p-30',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',31-MAY-1994,1940,-888.0,.01354167,'Pond',,13.1,11.7,8.3,'M-BP-p-32',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',31-MAY-1994,1940,-888.0,.02256944,'Pond',,13.1,11.7,8.3,'M-BP-p-31',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',31-MAY-1994,2038,-999.0,.00994213,'Mire',,-999.0,8.6,6.0,'M-BP-mc-25',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',31-MAY-1994,2038,-999.0,.00700231,'Mire',,-999.0,8.6,6.0,'M-BP-mc-28',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',31-MAY-1994,2038,-999.0,.03148148,'Mire',,-999.0,8.6,6.0,'M-BP-mc-27',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',31-MAY-1994,2038,-999.0,-.0013657,'Mire',,-999.0,8.6,6.0,'M-BP-mc-26',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',16-JUN-1994,2107,3.87731481,-.0015625,'Lichen',,-999.0,-999.0,7.9,'M-BP-ul-17',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',16-JUN-1994,2107,-888.0,0.0,'Lichen',,-999.0,-999.0,7.9,'M-BP-ul-18',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',16-JUN-1994,2107,4.76851852,0.0,'Lichen',,-999.0,-999.0,7.9,'M-BP-ul-20',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',16-JUN-1994,2107,5.05787037,0.0,'Lichen',,-999.0,-999.0,7.9,'M-BP-ul-19',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',16-JUN-1994,2136,5.9375,-.0010197,'Sphagnum Moss',,-999.0,-999.0,-999.0,'M-BP-ms-21',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',16-JUN-1994,2136,4.22453704,-.0047222,'Sphagnum Moss',,-999.0,-999.0,-999.0,'M-BP-ms-24',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',16-JUN-1994,2136,4.15509259,0.0,'Sphagnum Moss',,-999.0,-999.0,-999.0,'M-BP-ms-22',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',16-JUN-1994,2136,4.84953704,0.0,'Sphagnum Moss',,-999.0,-999.0,-999.0,'M-BP-ms-23',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',16-JUN-1994,2204,1.70138889,.66319444,'Pond',,-999.0,-999.0,-999.0,'M-BP-p-29',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',16-JUN-1994,2204,-888.0,.04328704,'Pond',,-999.0,-999.0,-999.0,'M-BP-p-32',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',16-JUN-1994,2204,2.93981481,-888.0,'Pond',,-999.0,-999.0,-999.0,'M-BP-p-30',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',16-JUN-1994,2204,-888.0,.03784722,'Pond',,-999.0,-999.0,-999.0,'M-BP-p-31',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',16-JUN-1994,2316,-888.0,.03726852,'Mire',,-999.0,13.4,11.7,'M-BP-mc-25',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',16-JUN-1994,2316,3.64583333,.19907407,'Mire',,-999.0,13.4,11.7,'M-BP-mc-27',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',16-JUN-1994,2316,-888.0,.00623843,'Mire',,-999.0,13.4,11.7,'M-BP-mc-28',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',16-JUN-1994,2316,-888.0,.03854167,'Mire',,-999.0,13.4,11.7,'M-BP-mc-26',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',21-JUN-1994,1702,-888.0,-888.0,'Pond',,20.7,18.6,14.2,'M-BP-p-29',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',21-JUN-1994,1702,3.55324074,.04270833,'Pond',,20.7,18.6,14.2,'M-BP-p-30',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',21-JUN-1994,1702,-2.8703704,.16898148,'Pond',,20.7,18.6,14.2,'M-BP-p-32',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',21-JUN-1994,1702,-888.0,.23773148,'Pond',,20.7,18.6,14.2,'M-BP-p-31',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',21-JUN-1994,1814,-888.0,.02222222,'Mire',,-999.0,14.7,12.6,'M-BP-mc-25',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',21-JUN-1994,1814,-888.0,.0125,'Mire',,-999.0,14.7,12.6,'M-BP-mc-28',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',21-JUN-1994,1814,-.2893519,-888.0,'Mire',,-999.0,14.7,12.6,'M-BP-mc-27',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',21-JUN-1994,1814,3.21759259,-888.0,'Mire',,-999.0,14.7,12.6,'M-BP-mc-26',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',21-JUN-1994,2107,4.21296296,0.0,'Lichen',,-999.0,12.8,7.9,'M-BP-ul-17',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',21-JUN-1994,2107,5.18518519,-.0018519,'Lichen',,-999.0,12.8,7.9,'M-BP-ul-19',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',21-JUN-1994,2107,-888.0,-.0040741,'Lichen',,-999.0,12.8,7.9,'M-BP-ul-20',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',21-JUN-1994,2107,3.18287037,-.00125,'Lichen',,-999.0,12.8,7.9,'M-BP-ul-18',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',21-JUN-1994,2136,3.54166667,.00104167,'Sphagnum Moss',,22.8,15.6,4.9,'M-BP-ms-21',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',21-JUN-1994,2136,-888.0,0.0,'Sphagnum Moss',,22.8,15.6,4.9,'M-BP-ms-24',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',21-JUN-1994,2136,3.86574074,-.0009699,'Sphagnum Moss',,22.8,15.6,4.9,'M-BP-ms-22',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',21-JUN-1994,2136,4.47916667,0.0,'Sphagnum Moss',,22.8,15.6,4.9,'M-BP-ms-23',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',30-JUN-1994,1800,-888.0,-888.0,'Pond',,14.5,13.3,13.4,'M-BP-p-29',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',30-JUN-1994,1800,1.19212963,-888.0,'Pond',,14.5,13.3,13.4,'M-BP-p-32',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',30-JUN-1994,1800,-888.0,.00288194,'Pond',,14.5,13.3,13.4,'M-BP-p-31',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',30-JUN-1994,1800,-888.0,-888.0,'Pond',,14.5,13.3,13.4,'M-BP-p-30',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',30-JUN-1994,1857,-888.0,0.0,'Sphagnum Moss',,12.5,8.9,6.4,'M-BP-ms-21',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',30-JUN-1994,1857,1.10532407,.00190972,'Sphagnum Moss',,12.5,8.9,6.4,'M-BP-ms-24',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',30-JUN-1994,1857,-888.0,-.0010347,'Sphagnum Moss',,12.5,8.9,6.4,'M-BP-ms-22',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',30-JUN-1994,1857,-888.0,-.0007164,'Sphagnum Moss',,12.5,8.9,6.4,'M-BP-ms-23',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',30-JUN-1994,1940,2.56944444,-.0022106,'Lichen',,10.2,5.9,2.9,'M-BP-ul-17',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',30-JUN-1994,1940,-888.0,0.0,'Lichen',,10.2,5.9,2.9,'M-BP-ul-19',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',30-JUN-1994,1940,2.40740741,-.001956,'Lichen',,10.2,5.9,2.9,'M-BP-ul-20',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',30-JUN-1994,1940,-999.0,-999.0,'Lichen',,10.2,5.9,2.9,'M-BP-ul-18',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',30-JUN-1994,2009,-888.0,-888.0,'Mire',,11.6,11.4,10.8,'M-BP-mc-25',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',30-JUN-1994,2009,.45833333,.30787037,'Mire',,11.6,11.4,10.8,'M-BP-mc-27',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',30-JUN-1994,2009,1.21527778,.01921296,'Mire',,11.6,11.4,10.8,'M-BP-mc-28',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',30-JUN-1994,2009,-888.0,-888.0,'Mire',,11.6,11.4,10.8,'M-BP-mc-26',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',08-JUL-1994,1955,-2.0833333,.11064815,'Mire',,17.7,12.7,11.6,'M-BP-mc-25',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',08-JUL-1994,1955,-.5601852,.02118056,'Mire',,17.7,12.7,11.6,'M-BP-mc-26',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',08-JUL-1994,1955,-1.6666667,-888.0,'Mire',,17.7,12.7,11.6,'M-BP-mc-27',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',08-JUL-1994,1955,-888.0,.00155093,'Mire',,17.7,12.7,11.6,'M-BP-mc-28',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',08-JUL-1994,2024,-888.0,.02743056,'Pond',,10.7,10.6,9.5,'M-BP-p-29',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',08-JUL-1994,2024,2.89351852,-.0029398,'Lichen',,19.5,6.7,1.1,'M-BP-ul-20',366.0,-999.0,1.988,-999.0,'CPI',14-JAN-1997"
