"SITE_NAME,SUB_SITE,DATE_OBS,TIME_OBS,CHAMBER_ID,CH4_FLUX,REVISION_DATE,CRTFCN_CODE"
"'SSA-9JP-RECCT','9TF04-FLX01',27-JUN-1994,1542,'O',-70.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',27-JUN-1994,1543,'M',-21.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',27-JUN-1994,1544,'N',-105.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',27-JUN-1994,1643,'Q',-130.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',27-JUN-1994,1644,'R',-74.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',03-JUL-1994,1857,'M',-88.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',03-JUL-1994,1858,'N',-123.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',09-JUL-1994,1627,'M',-56.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',09-JUL-1994,1728,'N',-30.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',29-JUL-1994,2135,'M',-41.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',29-JUL-1994,2135,'N',-127.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',29-JUL-1994,2217,'O',-90.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',29-JUL-1994,2217,'P',-85.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',13-AUG-1994,1600,'M',-93.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',13-AUG-1994,1600,'N',-72.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',13-AUG-1994,1642,'O',-142.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',13-AUG-1994,1642,'P',-133.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',13-AUG-1994,1722,'Q',-102.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',13-AUG-1994,1722,'R',-134.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',22-AUG-1994,1607,'M',-60.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',22-AUG-1994,1607,'N',-137.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',22-AUG-1994,1608,'O',-194.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',22-AUG-1994,1608,'P',-125.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',10-SEP-1994,2000,'N',-66.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',10-SEP-1994,2000,'M',-12.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',10-SEP-1994,2045,'O',-67.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',10-SEP-1994,2045,'P',-61.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',21-MAR-1995,2107,'N',-62.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',21-MAR-1995,2107,'Q',-30.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',21-MAR-1995,2107,'N',-62.0,10-NOV-1998,'CPI'"
